Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
BotchedEscapeScene_4dcbc288		You can't just let it end here. Not now.	game/story/botched_escape_scene.rpy	79	"[what]"
PleadCase_6779a625	you	No, wait, please! I never asked to be a monster!	game/story/botched_escape_scene.rpy	93	you "[what]"
PleadCase_e73b4391		The hooded woman looks surprised at your outburst. Her stance doesn't waver, but she nods slowly at you to continue.	game/story/botched_escape_scene.rpy	97	"[what]"
PleadCase_5e2032ca	you	Where do I begin…? I was out late. A bunch of dogs, hundreds of them, cornered me into an alley. Then, a huge wolf-beast attacked me, dragged me here, and turned me into…	game/story/botched_escape_scene.rpy	99	you "[what]"
PleadCase_2669df36	aki	The smaller dogs you mentioned. Where are they now?	game/story/botched_escape_scene.rpy	103	aki "[what]"
PleadCase_083af611		The woman lowers her bow, looking around suspiciously.	game/story/botched_escape_scene.rpy	111	"[what]"
PleadCase_33331969	you	I don’t know, they were gone when I stepped outside. They must have run off somewhere, maybe-	game/story/botched_escape_scene.rpy	113	you "[what]"
PleadCase_54f61c73	aki	The large one, the wolf-beast. That is their master, is it not?	game/story/botched_escape_scene.rpy	119	aki "[what]"
PleadCase_6d58198f	you	Yes. She goes by Ashina. She's been holding me captive.	game/story/botched_escape_scene.rpy	121	you "[what]"
PleadCase_aaabf4b2	you	My friend tried to rescue me, but now they’re trapped here too. She said she wouldn’t do anything to them so long as I behave, but…	game/story/botched_escape_scene.rpy	123	you "[what]"
PleadCase_d14af909	aki	I see. So that lycanthrope is going around toying with the lives of innocent humans yet again. What a disgusting creature.	game/story/botched_escape_scene.rpy	129	aki "[what]"
PleadCase_2980eecf		The woman turns her bow and arrow away from you, continuing to scan the surroundings.	game/story/botched_escape_scene.rpy	135	"[what]"
PleadCase_19878566	aki	Everything about this spells out a trap. I need to get out of here.	game/story/botched_escape_scene.rpy	139	aki "[what]"
PleadCase_270ae73f		She turns her dark gaze back to you.	game/story/botched_escape_scene.rpy	143	"[what]"
PleadCase_bae2fd24	aki	Name's Akari. We have a common enemy. I will let you go, for now. Help me, and I will help you in turn.	game/story/botched_escape_scene.rpy	145	aki "[what]"
PleadCase_535b3b30	aki	But do not forget, you are still a monster. Try anything funny with me, and I will not hesitate to kill you.	game/story/botched_escape_scene.rpy	154	aki "[what]"
PleadCase_e427a9ce		Akari backs into the foliage, disappearing in the blink of an eye. You notice how tense you feel, and allow yourself a moment to recover. A chill breeze ruffles your clothes.	game/story/botched_escape_scene.rpy	158	"[what]"
PleadCase_f87118bf		The tranquil moment doesn't last for long. You hear the approach of powerful footsteps, and you know you're in for it now.	game/story/botched_escape_scene.rpy	160	"[what]"
CallOut_12105838		You desperately call out for Ashina and the hooded woman jumps slightly. She looks at you with a confused expression and lowers her bow.	game/story/botched_escape_scene.rpy	167	"[what]"
CallOut_d9e033f3	aki	Who are you yelling for? You should be the only one here.	game/story/botched_escape_scene.rpy	173	aki "[what]"
CallOut_d28438a6		The woman looks around, but there’s no sign of Ashina yet. The stranger’s dark gaze briefly returns to you.	game/story/botched_escape_scene.rpy	177	"[what]"
CallOut_f64bc312	aki	You do look… different than I expected. Name’s Akari. How about you tell me-	game/story/botched_escape_scene.rpy	183	aki "[what]"
CallOut_6d85a4cf		There’s a sudden burst of movement and a fierce growling quickly approaching from behind you. Akari’s eyes go wide, and she quickly backs into the foliage, disappearing in the blink of an eye.	game/story/botched_escape_scene.rpy	197	"[what]"
CallOut_89d2d591		The same beastly wolf that attacked you in the alley lunges forward at the treeline, then stops short, giving up the chase.	game/story/botched_escape_scene.rpy	204	"[what]"
CallOut_09ef01c9		You watch as, before your eyes, the wolf begins to change. You hear the sharp cracking of bone and the mushy contorting of flesh. You want to look away, but you can’t. Soon enough, Ashina stands before you.	game/story/botched_escape_scene.rpy	211	"[what]"
BotchedConverge1_66733df5	ash	I seem to recall telling you to stay inside, did I not, pup?	game/story/botched_escape_scene.rpy	221	ash "[what]"
BotchedConverge1_09c9e739		You turn to face Ashina as she steps closer, looming over you. You reflexively swallow.	game/story/botched_escape_scene.rpy	225	"[what]"
BotchedConverge1_130cb3a5	you	You… did.	game/story/botched_escape_scene.rpy	227	you "[what]"
BotchedConverge1_40df9e2d	ash	Did you really think I would let you just walk out of here? You silly, naive little thing. You must take me for a fool.	game/story/botched_escape_scene.rpy	231	ash "[what]"
BotchedConverge1_fcd2191e	ash	This was a test, and you, my dear, have failed. I can see you are not yet ready for the privilege of independence.	game/story/botched_escape_scene.rpy	235	ash "[what]"
BotchedConverge1_05ab8f60	ash	Tell me, do you take joy in disrespecting me? In betraying the first ounce of trust I place in you?	game/story/botched_escape_scene.rpy	241	ash "[what]"
BotchedConverge1_8821a2ce	ash	I will not tolerate your behavior. Get back inside. Now.	game/story/botched_escape_scene.rpy	246	ash "[what]"
ResistAshina_766b220d	you	This isn’t about you! I wasn't doing anything wrong!	game/story/botched_escape_scene.rpy	259	you "[what]"
ResistAshina_d858f67a	you	You think you can just turn me into some monster, ruin my life and act like I'm supposed to be grateful towards you? No! I've had enough!	game/story/botched_escape_scene.rpy	261	you "[what]"
ResistAshina_7b3a7ccb		You turn away from Ashina and intend to put some space between you.	game/story/botched_escape_scene.rpy	263	"[what]"
ResistAshina_7f62f629	ash	You will not walk away from me!	game/story/botched_escape_scene.rpy	270	ash "[what]"
ResistAshina_bf5303e7		Ashina grabs your wrist and drags you struggling across the yard. As she does so, you notice a pair of dark eyes watching from the treeline.	game/story/botched_escape_scene.rpy	279	"[what]"
ResistAshina_c82fce25		Ashina tosses you into the cabin, slams the front door shut, and snarls at you.	game/story/botched_escape_scene.rpy	293	"[what]"
ResistAshina_160e0f27	ash	I've given you a chance at a new life! And this is the thanks I get?!	game/story/botched_escape_scene.rpy	295	ash "[what]"
GoWillingly_3dd05a3f		You avert your eyes from Ashina’s intense gaze, and walk back to the cabin. You hear Ashina’s footsteps behind you. Once inside, she approaches you with a fierce expression.	game/story/botched_escape_scene.rpy	300	"[what]"
GoWillingly_b1d0cd52		You stumble as your foot catches the edge of the walkway, causing you to topple over. Ashina regards you hesitantly.	game/story/botched_escape_scene.rpy	318	"[what]"
GoWillingly_0d977451	ash	I told you to stay inside. Why couldn’t you just listen to me?	game/story/botched_escape_scene.rpy	320	ash "[what]"
BotchedConverge2_fb2e9507		Ashina starts pacing as you look up at her from the ground, stunned. After a few moments, she stops and looks down at you with a softer expression.	game/story/botched_escape_scene.rpy	333	"[what]"
BotchedConverge2_6495213f	ash	Forgive me. You have been… mostly cooperative, I must admit, and you do not deserve my harshness. I understand that you would feel defensive, with how I approached you.	game/story/botched_escape_scene.rpy	338	ash "[what]"
BotchedConverge2_97b721e4		She offers you a hand, and you hesitantly take it. She helps you up. You feel like a feather in her strong grasp, lifted with ease.	game/story/botched_escape_scene.rpy	342	"[what]"
BotchedConverge2_5e0233fc	ash	Perhaps you were feeling cooped up, and wanted to explore. I can’t blame you for that. However, you must restrain yourself.	game/story/botched_escape_scene.rpy	347	ash "[what]"
BotchedConverge2_03cb0050		Her grip on your hand lingers a moment longer, squeezing before pulling away.	game/story/botched_escape_scene.rpy	351	"[what]"
BotchedConverge2_e87c3392	ash	Trust takes time. You will be allowed to roam soon enough, I promise. Now… Please, return to your room.	game/story/botched_escape_scene.rpy	356	ash "[what]"
BotchedConverge2_d7b8bfc9		You feel her gaze on your back as you cross the hearth and head upstairs.	game/story/botched_escape_scene.rpy	364	"[what]"
BotchedConverge2_1391f8d3		When you find yourself lying in bed, you’re cradling your hand over your chest. You can still feel the warmth from when Ashina held it.	game/story/botched_escape_scene.rpy	370	"[what]"
BotchedConverge2_297a38ab		Ashina raises a hand as if she might hit you, and you reflexively flinch. She stops, a clear hesitation in her eyes.	game/story/botched_escape_scene.rpy	383	"[what]"
BotchedConverge2_f892531d	ash	...Go to your room.	game/story/botched_escape_scene.rpy	388	ash "[what]"
BotchedConverge2_f6ccf641		She looks away. You figure you shouldn’t give her time to rethink that decision, and hurry up the stairs.	game/story/botched_escape_scene.rpy	396	"[what]"
BotchedConverge2_343d0ab7		When you find yourself lying in bed, you struggle to drift off, haunted by memories and the look of concern on your captor’s face.	game/story/botched_escape_scene.rpy	402	"[what]"
BotchedConverge2_99f65fc2	ash	You reckless, ungrateful fool. Clearly you do not understand your situation, despite me going to great lengths to explain it.	game/story/botched_escape_scene.rpy	416	ash "[what]"
BotchedConverge2_f01fec20		She grabs the back of your shirt, dragging you towards the staircase.	game/story/botched_escape_scene.rpy	421	"[what]"
BotchedConverge2_373da312	ash	It seems I am going to need to teach you a hard lesson, girl. Perhaps then you will realize the wisdom in my words.	game/story/botched_escape_scene.rpy	423	ash "[what]"
BotchedConverge2_1a6d1172		You claw at her leg, her wrist, but she ignores it, dragging you painfully up the stairs. You manage to tug your shirt out of her grip, but she grabs and painfully twists your arm.	game/story/botched_escape_scene.rpy	427	"[what]"
BotchedConverge2_8b918a24		She forces you across the hall, and then throws you into your room. The door slams as you scramble towards it, your monstrous hands clawing at the wood. There’s a distinct sound of the door being locked.	game/story/botched_escape_scene.rpy	429	"[what]"
BotchedConverge2_d6b8b7a8		You turn and make for the window, but when you’re within steps of it, the dogs outside erupt into growls and barks. Even if you climbed out, they would rip you to shreds.	game/story/botched_escape_scene.rpy	431	"[what]"
BotchedConverge2_3586dcc6		You collapse onto the ground and sob.	game/story/botched_escape_scene.rpy	433	"[what]"
DreamScene_97b3d4f1		Your consciousness bubbles to the surface as sunlight heats your skin nearly to the point of burning. You squint down at your tiny hands, wet with tears.	game/story/dream_scene.rpy	16	"[what]"
DreamScene_fdb43914	you	This dream again… Why? Why now?	game/story/dream_scene.rpy	18	you "[what]"
DreamScene_15c6133f		You cry uncontrollably, standing alone on your front porch. Your heart aches with betrayal and confusion.	game/story/dream_scene.rpy	20	"[what]"
DreamScene_28e48c78	you	For the life of me, I couldn't tell you what I did to make them so upset. It was always something with them, no matter how good I tried to be.	game/story/dream_scene.rpy	22	you "[what]"
DreamScene_33d693e0		A shadow crosses into your field of vision. You look up through bleary eyes to see your neighbor, crouched down with one hand extended towards you, palm side up.	game/story/dream_scene.rpy	31	"[what]"
DreamScene_c1da7b60	neighbor	Hey, sweetheart. What are you doing out here all by yourself? Are your folks not home?	game/story/dream_scene.rpy	33	neighbor "[what]"
DreamScene_8d5f1ec9		You struggle to speak through rising sobs, but somehow manage to croak out a response.	game/story/dream_scene.rpy	35	"[what]"
DreamScene_925cf46e	you	No… Mommy and Daddy just don't like me right now. They said I gotta stay out here until I learn my lesson…	game/story/dream_scene.rpy	37	you "[what]"
DreamScene_cb95bcff		Your neighbor frowns and looks deep in thought, before turning back to you with as much of a smile as she can muster.	game/story/dream_scene.rpy	39	"[what]"
DreamScene_d1f29f75	neighbor	Alright, how about we hang out at my house for today? Does that sound good, honey? I'll let your folks know where you are. My wife's making cookies!	game/story/dream_scene.rpy	41	neighbor "[what]"
DreamScene_82d915d2		Your neighbor smiles encouragingly. Your sobs momentarily stop at the mention of sweet treats. You look up at them hopefully.	game/story/dream_scene.rpy	43	"[what]"
DreamScene_8306df5b	you	Cookies…? Will there be chocolate chip?	game/story/dream_scene.rpy	45	you "[what]"
DreamScene_7fc27713		Your neighbor chuckles.	game/story/dream_scene.rpy	47	"[what]"
DreamScene_6b148ad3	neighbor	Any flavor you want. Come along now. Hold my hand when we cross the street, okay?	game/story/dream_scene.rpy	49	neighbor "[what]"
DreamScene_5c868d62		You do as you're told, suddenly feeling in higher spirits, as your neighbor continues making delightful promises.	game/story/dream_scene.rpy	51	"[what]"
DreamScene_21ca2197	neighbor	We have the biggest collection of movies at home! You can pick your favorite!	game/story/dream_scene.rpy	53	neighbor "[what]"
DreamScene_831ece01		That day was special. For the first time in your life, you felt like you had an adult you could trust. Your neighbor's place was somewhere you could go on the days when “home” felt more like a warzone.	game/story/dream_scene.rpy	58	"[what]"
DreamScene_13b1e06e		But, of course, good things don't last forever.	game/story/dream_scene.rpy	60	"[what]"
DreamScene_dfa1857a	you	But, why?! I still don't get it! Why do you have to move? Why can't you just stay here?! Did I do something wrong?!	game/story/dream_scene.rpy	68	you "[what]"
DreamScene_84fed097		You bawl your eyes out just inside your neighbor’s front door. You're surrounded by boxes, a big moving truck parked in the driveway behind you. Your neighbor looks at you with sad eyes.	game/story/dream_scene.rpy	70	"[what]"
DreamScene_b3653db4	neighbor	We aren’t moving because of you. Please don't think that.	game/story/dream_scene.rpy	72	neighbor "[what]"
DreamScene_e16db0d4		They look away, speaking to you in a gentle, cautious tone.	game/story/dream_scene.rpy	74	"[what]"
DreamScene_987e2b08	neighbor	It's just… We're starting a family now. This house won't be big enough for the new baby.	game/story/dream_scene.rpy	76	neighbor "[what]"
DreamScene_78105b54	you	Then take me with you!	game/story/dream_scene.rpy	78	you "[what]"
DreamScene_c95d493d	neighbor	We'd love to have you there, we really would.	game/story/dream_scene.rpy	80	neighbor "[what]"
DreamScene_d03128b7	neighbor	But, we can't just take you from your parents. They're your family.	game/story/dream_scene.rpy	82	neighbor "[what]"
DreamScene_51ea51cd	you	No, they're not! You're my family!	game/story/dream_scene.rpy	84	you "[what]"
DreamScene_aefa506f		Your neighbor gives you an empathetic smile as you sink down to the ground, crying.	game/story/dream_scene.rpy	86	"[what]"
DreamScene_f23d9fc4	neighbor	Listen, sweetheart. How about we leave you our phone number? When we're all settled in, maybe your parents can bring you to visit us.	game/story/dream_scene.rpy	88	neighbor "[what]"
DreamScene_bbc2762b		Your blood boils and your emotions flood out all at once as you rise to your feet, wiping your tears with your arm.	game/story/dream_scene.rpy	90	"[what]"
DreamScene_aa27aa11	you	Why did you have to have that stupid baby?!	game/story/dream_scene.rpy	92	you "[what]"
DreamScene_c8df1c63	you	I hate you! I hate your wife, and I hate hate hate your baby! I never want to see you again!	game/story/dream_scene.rpy	94	you "[what]"
DreamScene_42d9d77d		You run out of the house, never stopping to look back.	game/story/dream_scene.rpy	99	"[what]"
DreamScene_96420231		That was the last thing you ever said to them.	game/story/dream_scene.rpy	101	"[what]"
DreamScene_08174e2a		You've always wished you could go back, to tell them what they meant to you. To thank them for what they did for you, for being a safe harbor in the never-ending storm of your life. But, life doesn't give second chances.	game/story/dream_scene.rpy	103	"[what]"
DreamScene_d6a500df		Soon, the scene is washed away, and the play begins anew. You're in a classroom and the teacher is giving yet another droning lesson. You're older now, just having started 9th grade.	game/story/dream_scene.rpy	105	"[what]"
DreamScene_3e13f54f		The lunch bell rings, jolting you out of your seat.	game/story/dream_scene.rpy	107	"[what]"
DreamScene_de982fb2	teacher	Alright, class! That concludes the lesson for today. Remember that your reports are due this Friday!	game/story/dream_scene.rpy	115	teacher "[what]"
DreamScene_ba92d9ea		As you're about to walk through the door, the teacher points at you with a stern face.	game/story/dream_scene.rpy	117	"[what]"
DreamScene_5dfd8901	teacher	You there. Stay behind, I need to speak with you privately.	game/story/dream_scene.rpy	119	teacher "[what]"
DreamScene_70bf45e1		Nerves flutter in your stomach. You slowly walk over to their desk as the rest of the students filter out of the room. Great, what did you mess up this time?	game/story/dream_scene.rpy	121	"[what]"
DreamScene_03e7c95b	teacher	I’ve noticed you haven’t been eating lunch in a while. I checked with the lunch staff, and they said your account hasn’t had new funds added to it in weeks.	game/story/dream_scene.rpy	123	teacher "[what]"
DreamScene_4871e5e1		You frown, a defensive burning rising within your chest. That's not anyone else's business, why are they bringing it up?	game/story/dream_scene.rpy	125	"[what]"
DreamScene_1a1826d1	you	And?	game/story/dream_scene.rpy	127	you "[what]"
DreamScene_618e34bd	teacher	…Is everything alright at home? Should we sign you up for free lunches? What’s going on?	game/story/dream_scene.rpy	129	teacher "[what]"
DreamScene_a3b7d5df		You shrug noncommittally.	game/story/dream_scene.rpy	131	"[what]"
DreamScene_0288cec5	you	Guess I’m just not that hungry.	game/story/dream_scene.rpy	133	you "[what]"
DreamScene_070e38ea		The teacher sighs.	game/story/dream_scene.rpy	135	"[what]"
DreamScene_1e876651	teacher	Should I contact your parents, then? They should be getting emails that your account is empty, but maybe they need to update their contact information.	game/story/dream_scene.rpy	137	teacher "[what]"
DreamScene_c234d17d	you	No!	game/story/dream_scene.rpy	139	you "[what]"
DreamScene_8dddb792		You blurt the word out without thinking, then look away.	game/story/dream_scene.rpy	141	"[what]"
DreamScene_c515b63a	you	…Look, I just don’t like asking them, okay? Trust me, it’s easier that way. Not like losing a few pounds would kill me, either.	game/story/dream_scene.rpy	143	you "[what]"
DreamScene_516b6030		Whoops. You know that concerned look. You shouldn’t have said anything.	game/story/dream_scene.rpy	145	"[what]"
DreamScene_428abde2	teacher	Well… You know, my partner always packs me way too much food for lunch, I can never eat it all.	game/story/dream_scene.rpy	147	teacher "[what]"
DreamScene_b99a2599		You give them a confused look as they set a lunchbox on the table.	game/story/dream_scene.rpy	149	"[what]"
DreamScene_19d5497d	teacher	So, help me out with it? They always look so sad when I get home and haven’t eaten it all, so really, you’d be doing me a big favor.	game/story/dream_scene.rpy	151	teacher "[what]"
DreamScene_4f029247		They open the lunchbox, and sure enough, it is packed to the brim. Maybe they’re actually telling the truth.	game/story/dream_scene.rpy	153	"[what]"
DreamScene_31231ca3		Or maybe you’re just hungry. You feel your stomach gurgle.	game/story/dream_scene.rpy	155	"[what]"
DreamScene_16d77119	you	…I guess I could eat, if it helps.	game/story/dream_scene.rpy	157	you "[what]"
DreamScene_a6f6be99		Your teacher gives you a big smile.	game/story/dream_scene.rpy	159	"[what]"
DreamScene_00003b0a		From then on, that was your lunch routine. Your teacher never asked any too-hard questions, and you two would just chat about the simple things.	game/story/dream_scene.rpy	164	"[what]"
DreamScene_4626ae91		Sometimes, you wished they would ask. Sometimes, you wished they would do something about it.	game/story/dream_scene.rpy	166	"[what]"
DreamScene_f99d77b1		It wasn’t a big explosion like with your neighbor. That almost stings more. One day, you walked into class, and there was a substitute. And the next day, and the next day, until you found out that your teacher had been fired.	game/story/dream_scene.rpy	168	"[what]"
DreamScene_a1232eb8		Lots of nasty rumors spread in speculation of their sudden discharge. You heard things that made you sick to your stomach. You want to believe in the kind teacher that tricked you into eating lunch, but doubts about their true nature haunt you to this day.	game/story/dream_scene.rpy	170	"[what]"
DreamScene_7e07d57a		More scenes play out, smaller moments of hope and reprieve, the end always the same. People passing through your life like ships in the night, as they say. Teaching you a lesson.	game/story/dream_scene.rpy	174	"[what]"
DreamScene_254df1b2		Everybody is living their own lives, dealing with their own struggles, and trying their best. You’re grateful for the impact they were able to have on your life, even if it left you wanting more.	game/story/dream_scene.rpy	185	"[what]"
DreamScene_d90aa8f2		After all, lately all you do is try to survive. Sometimes, that’s all people can do.	game/story/dream_scene.rpy	186	"[what]"
DreamScene_33f1f4a2		They gave you something irreplaceable: Hope. For every person that walked out of your life, somebody else walked into it. It taught you that no matter how hard things seem now, there’s always a chance at happiness on the other side.	game/story/dream_scene.rpy	188	"[what]"
DreamScene_c673f839		In the end, they all abandoned you. None of them were strong or kind enough to step out of their own damn comfort zones. Think of the person you could be now if just one of them had cared enough to fight for you, to get you out of that terrible situation.	game/story/dream_scene.rpy	197	"[what]"
DreamScene_d41b8517		It fills you with rage. Rage at every not-so-innocent bystander with their plastered smiles, shielding themselves from the horrors of the world. It’s because of them you refuse to close your eyes to suffering. You’ll never be like them.	game/story/dream_scene.rpy	198	"[what]"
FailedRescueScene_66752303		You stir groggily, your sleep disturbed by a loud creaking noise.	game/story/failed_rescue_scene.rpy	8	"[what]"
FailedRescueScene_3a9394e4		Your eyes search the room for the noise and you notice a struggling figure wedged into the window. Somehow, even without getting a clear view, you know who it is.	game/story/failed_rescue_scene.rpy	36	"[what]"
FailedRescueScene_9f9d937a	you	Cameron?!	game/story/failed_rescue_scene.rpy	38	you "[what]"
FailedRescueScene_fe075352		You quickly realize you should be quiet if you don’t want to draw any unwanted attention, so you lower your voice to a hushed tone.	game/story/failed_rescue_scene.rpy	40	"[what]"
FailedRescueScene_2e6f54a3	you	What are you doing here?	game/story/failed_rescue_scene.rpy	42	you "[what]"
FailedRescueScene_dd9a736e	cam	What does it look like? I’m here to break you out! That is, if I could squeeze through this pinche window!	game/story/failed_rescue_scene.rpy	44	cam "[what]"
FailedRescueScene_78c71773		With a nervous glance towards the door, you slide out of bed and approach your struggling friend.	game/story/failed_rescue_scene.rpy	60	"[what]"
FailedRescueScene_3a820627		You take their arms and give a firm tug. Your strength surprises you as you’re able to lift them into the cabin with ease.	game/story/failed_rescue_scene.rpy	76	"[what]"
FailedRescueScene_77abb992	cam	Phew! I thought I might be stuck there forever. Hey, have you been working out?	game/story/failed_rescue_scene.rpy	97	cam "[what]"
FailedRescueScene_992c7641	you	How did you find this place? No, scratch that…how did you even know I was here?	game/story/failed_rescue_scene.rpy	99	you "[what]"
FailedRescueScene_1d998056	cam	I was making a run to the corner store, you know, the one on the edge of town, for my papi. Anyways, on my way out, I saw this huge lobo dragging you out into the woods.	game/story/failed_rescue_scene.rpy	104	cam "[what]"
FailedRescueScene_e1f676e8	cam	I didn’t even think, I just started following, but I couldn’t get close because there were a bunch of dogs around, and they didn’t look friendly. I followed you all the way to this cabin.	game/story/failed_rescue_scene.rpy	125	cam "[what]"
FailedRescueScene_b1a318a0	cam	Then…	game/story/failed_rescue_scene.rpy	127	cam "[what]"
FailedRescueScene_192123a1		Cameron pauses, their eyes nervously averting to the side.	game/story/failed_rescue_scene.rpy	132	"[what]"
FailedRescueScene_49f9352d	cam	This is going to sound crazy, but I saw the wolf turn into a woman. Then she took you inside. And honestly… I ran. I thought it had to be some crazy dream.	game/story/failed_rescue_scene.rpy	148	cam "[what]"
FailedRescueScene_378ac115	cam	I thought about going to the police, but no way they’d believe me. I went to work and tried to forget about it, but I couldn’t. So, here I am.	game/story/failed_rescue_scene.rpy	169	cam "[what]"
FailedRescueScene_2938be01		There’s a long pause before you respond, not really sure how to take in all of that information.	game/story/failed_rescue_scene.rpy	171	"[what]"
FailedRescueScene_cd9d2bd8	you	…How did you manage to get past the guard dogs?	game/story/failed_rescue_scene.rpy	173	you "[what]"
FailedRescueScene_33aa3b7a	cam	They left in a big pack all of a sudden. Don’t know where they ran off to, but figured this was my only chance to get you out of here.	game/story/failed_rescue_scene.rpy	188	cam "[what]"
FailedRescueScene_57a1800e	you	That was really risky, Cam.	game/story/failed_rescue_scene.rpy	190	you "[what]"
FailedRescueScene_6c22d25e	cam	I know, believe me. My heart was pounding the whole way here!	game/story/failed_rescue_scene.rpy	195	cam "[what]"
FailedRescueScene_c9c4f2c3	cam	I’m probably the last person you thought would rescue you. I mean, when we found that wasp nest when we were kids, I ran screaming all the way home, just leaving you there.	game/story/failed_rescue_scene.rpy	211	cam "[what]"
FailedRescueScene_f4109ab3	cam	But, I dunno, I couldn’t leave without trying. So, come on, let’s go home and I’ll make you a nice, hot bowl of pozole. 	game/story/failed_rescue_scene.rpy	222	cam "[what]"
FailedRescueScene_1e31aaae		A shiver goes down your spine, and your breathing sounds... different. You get a strange feeling, like you're both here and standing outside of the room, but decide to refocus on Cam's words. This place is making you paranoid.	game/story/failed_rescue_scene.rpy	224	"[what]"
GoWithCam_7a4f2871		You try to ignore that, in the back of your head, you hunger more for the plate of raw meat from earlier than a bowl of soup. You’d give anything to feel normal. Your tiny, dingy apartment doesn’t sound so bad right now.	game/story/failed_rescue_scene.rpy	238	"[what]"
GoWithCam_6d8ee83c	you	Yeah, let’s get out of here.	game/story/failed_rescue_scene.rpy	240	you "[what]"
UrgeCamLeave_8068b810	you	Cameron… It’s not that easy. 	game/story/failed_rescue_scene.rpy	249	you "[what]"
UrgeCamLeave_f84867c0	cam	What do you mean? We can just walk out right now!	game/story/failed_rescue_scene.rpy	254	cam "[what]"
UrgeCamLeave_0d25a6ea	you	Sure, we could physically escape…	game/story/failed_rescue_scene.rpy	256	you "[what]"
UrgeCamLeave_5a2d6a2f	you	But, something’s obviously after me. What’s to stop them from dragging me back here again? 	game/story/failed_rescue_scene.rpy	258	you "[what]"
UrgeCamLeave_61af05e6	cam	I’ll watch over you. When you get out of work, I can pick you up and take you home. I’ll even stay over at your place and keep a look out.	game/story/failed_rescue_scene.rpy	263	cam "[what]"
UrgeCamLeave_0848335e	you	And what makes you think they won’t hurt you to get to me?	game/story/failed_rescue_scene.rpy	265	you "[what]"
UrgeCamLeave_03a0a53d	cam	…	game/story/failed_rescue_scene.rpy	270	cam "[what]"
UrgeCamLeave_58a130a9	you	You need to leave, Cameron. Before the dogs come back. Before she finds you.	game/story/failed_rescue_scene.rpy	272	you "[what]"
UrgeCamLeave_0d6b868c	cam	Fine, fine, I’ll go. But I’m not just going to leave you out here.	game/story/failed_rescue_scene.rpy	274	cam "[what]"
UrgeCamLeave_e4c97aa5	cam	I’ll get help, and I’ll come back. Just hang tight, okay?	game/story/failed_rescue_scene.rpy	276	cam "[what]"
CamCaught_5245632a		Cameron’s hand reaches for the doorknob. When they open the door, your stomach drops.	game/story/failed_rescue_scene.rpy	290	"[what]"
